Month,Gross Monthly Income (INR),Consultant Fee Deduction (10%),Net Monthly Income (INR)
March 2025,191666.66666666666,19166.666666666668,172500.0
April 2025,191666.66666666666,19166.666666666668,172500.0
May 2025,191666.66666666666,19166.666666666668,172500.0
June 2025,191666.66666666666,19166.666666666668,172500.0
July 2025,191666.66666666666,19166.666666666668,172500.0
August 2025,191666.66666666666,19166.666666666668,172500.0
September 2025,191666.66666666666,19166.666666666668,172500.0
October 2025,191666.66666666666,19166.666666666668,172500.0
November 2025,191666.66666666666,19166.666666666668,172500.0
December 2025,191666.66666666666,19166.666666666668,172500.0
January 2026,191666.66666666666,19166.666666666668,172500.0
February 2026,191666.66666666666,19166.666666666668,172500.0
