r,x,y,Mach_Number,Pressure,Density,Speed,V_Velocity,U_Velocity
1.021870221699607839e+00,3.344055000000003761e-03,1.021864749999999988e+00,3.349949999999999872e-01,2.887839999999999918e+01,3.458089999999999886e+00,1.145437253622021867e+00,-1.145329999999999959e+00,1.567460000000000034e-02
1.065620705956486614e+00,3.487224999999949306e-03,1.065615000000000201e+00,1.112649999999999917e+00,1.465830000000000055e+01,2.585609999999999964e+00,3.134603706430059145e+00,-3.134590000000000209e+00,9.269750000000000212e-03
1.109370940214703838e+00,3.630394999999923041e-03,1.109364999999999934e+00,2.648550000000000182e+00,4.536400000000000432e+00,1.856039999999999912e+00,4.899301278512632862e+00,-4.899300000000000210e+00,3.539440000000000034e-03
1.153118674486307560e+00,3.773564999999896342e-03,1.153112499999999985e+00,5.079640000000000377e+00,1.403070000000000039e+00,1.508539999999999992e+00,5.796390036247217381e+00,-5.796389999999999709e+00,6.482330000000000123e-04
1.196866408757911504e+00,3.916734999999954212e-03,1.196860000000000035e+00,5.934789999999999566e+00,1.026750000000000052e+00,1.415010000000000101e+00,5.981660000332820637e+00,-5.981659999999999755e+00,6.310029999999999621e-05
1.240616643016128950e+00,4.059905000000009478e-03,1.240609999999999991e+00,5.996769999999999712e+00,1.001609999999999889e+00,1.401280000000000081e+00,5.998850000001314520e+00,-5.998850000000000016e+00,3.971809999999999670e-06
1.284366877282527408e+00,4.203077499999956744e-03,1.284359999999999946e+00,5.999839999999999840e+00,1.000089999999999923e+00,1.400079999999999991e+00,5.999940000000004048e+00,-5.999939999999999607e+00,2.192760000000000108e-07
1.328117111548926088e+00,4.346249999999930030e-03,1.328110000000000124e+00,5.999990000000000379e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,1.097450000000000010e-08
1.371867345807143534e+00,4.489419999999903765e-03,1.371860000000000079e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,5.071739999999999487e-10
1.415617580065360759e+00,4.632589999999959900e-03,1.415610000000000035e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,2.152629999999999886e-11
