r,x,y,Mach_Number,Pressure,Density,Speed,V_Velocity,U_Velocity
1.021870221699607839e+00,3.344055000000003761e-03,1.021864749999999988e+00,2.656949999999999937e-02,5.445450000000000301e+01,5.828009999999999913e+00,9.609566223820927011e-02,9.486999999999999600e-02,1.529900000000000010e-02
1.065620705956486614e+00,3.487224999999949306e-03,1.065615000000000201e+00,2.570770000000000000e-02,5.108800000000000097e+01,6.758510000000000240e+00,8.362972361768272744e-02,8.094410000000000494e-02,2.102340000000000111e-02
1.109370940214703838e+00,3.630394999999923041e-03,1.109364999999999934e+00,5.646630000000000260e-01,2.897230000000000061e+01,5.320409999999999862e+00,1.559098937175457333e+00,-1.557670000000000110e+00,6.673579999999999790e-02
1.153118674486307560e+00,3.773564999999896342e-03,1.153112499999999985e+00,7.938640000000000000e+06,9.999999999999999799e-13,2.409240000000000048e+00,6.051593063756022239e+00,-6.046579999999999622e+00,-2.462699999999999889e-01
1.196866408757911504e+00,3.916734999999954212e-03,1.196860000000000035e+00,8.611629999999999896e+00,5.261200000000000321e-01,1.481810000000000072e+00,6.071494192123089384e+00,-6.070909999999999584e+00,-8.422290000000000332e-02
1.240616643016128950e+00,4.059905000000009478e-03,1.240609999999999991e+00,6.019860000000000433e+00,9.947099999999999831e-01,1.399899999999999922e+00,6.004130125443941424e+00,-6.004129999999999967e+00,-1.227339999999999941e-03
1.284366877282527408e+00,4.203077499999956744e-03,1.284359999999999946e+00,6.000600000000000378e+00,9.997930000000000428e-01,1.399899999999999922e+00,6.000190000069353324e+00,-6.000189999999999912e+00,-2.884900000000000111e-05
1.328117111548926088e+00,4.346249999999930030e-03,1.328110000000000124e+00,5.999489999999999768e+00,1.000140000000000029e+00,1.399980000000000002e+00,5.999950000035729758e+00,-5.999950000000000117e+00,2.070639999999999880e-05
1.371867345807143534e+00,4.489419999999903765e-03,1.371860000000000079e+00,5.999959999999999738e+00,9.999879999999999880e-01,1.399969999999999937e+00,5.999990000021934833e+00,-5.999990000000000379e+00,1.622389999999999894e-05
1.415617580065360759e+00,4.632589999999959900e-03,1.415610000000000035e+00,6.000090000000000146e+00,9.999820000000000375e-01,1.400030000000000108e+00,5.999980000011920112e+00,-5.999979999999999869e+00,-1.196019999999999943e-05
1.459367814323578205e+00,4.775760000000016901e-03,1.459359999999999991e+00,6.000000000000000000e+00,9.999989999999999712e-01,1.399990000000000068e+00,6.000020000000961140e+00,-6.000020000000000131e+00,3.395120000000000030e-06
1.503118048581795430e+00,4.918929999999962881e-03,1.503109999999999946e+00,6.000009999999999621e+00,9.999959999999999960e-01,1.399999999999999911e+00,5.999990000000115842e+00,-5.999990000000000379e+00,-1.177989999999999923e-06
1.546868282864556576e+00,5.062107499999937005e-03,1.546860000000000124e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000012434e+00,-6.000000000000000000e+00,3.887099999999999913e-07
1.590618517114592789e+00,5.205274999999880831e-03,1.590610000000000079e+00,6.000000000000000000e+00,9.999989999999999712e-01,1.399999999999999911e+00,6.000000000000000888e+00,-6.000000000000000000e+00,-9.528279999999999609e-08
1.634366251402558756e+00,5.348449999999938670e-03,1.634357499999999908e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,9.161090000000000673e-09
