r,x,y,Mach_Number,Pressure,Density,Speed,V_Velocity,U_Velocity
1.021870221699607839e+00,3.344055000000003761e-03,1.021864749999999988e+00,3.539140000000000341e-02,4.575829999999999842e+01,7.720030000000000392e+00,1.019495921228231322e-01,-1.009899999999999964e-01,1.395489999999999925e-02
1.065620705956486614e+00,3.487224999999949306e-03,1.065615000000000201e+00,9.099640000000000506e-02,4.547789999999999822e+01,7.674830000000000041e+00,2.620920138367439645e-01,-2.618059999999999832e-01,1.224100000000000014e-02
1.109370940214703838e+00,3.630394999999923041e-03,1.109364999999999934e+00,1.381560000000000010e-01,4.508149999999999835e+01,7.613470000000000404e+00,3.977793701207240629e-01,-3.976500000000000035e-01,1.014420000000000079e-02
1.153118674486307560e+00,3.773564999999896342e-03,1.153112499999999985e+00,1.783379999999999965e-01,4.465059999999999718e+01,7.547970000000000290e+00,5.132220781739184057e-01,-5.131400000000000405e-01,9.178340000000000110e-03
1.196866408757911504e+00,3.916734999999954212e-03,1.196860000000000035e+00,2.136409999999999976e-01,4.416700000000000159e+01,7.477420000000000400e+00,6.143594849679807623e-01,-6.143070000000000475e-01,8.030350000000000335e-03
1.240616643016128950e+00,4.059905000000009478e-03,1.240609999999999991e+00,2.451329999999999898e-01,4.365310000000000201e+01,7.405179999999999652e+00,7.042168888074196165e-01,-7.041789999999999994e-01,7.304960000000000099e-03
1.284366877282527408e+00,4.203077499999956744e-03,1.284359999999999946e+00,2.735259999999999914e-01,4.309890000000000043e+01,7.330230000000000246e+00,7.847602023074310429e-01,-7.847309999999999564e-01,6.769990000000000036e-03
1.328117111548926088e+00,4.346249999999930030e-03,1.328110000000000124e+00,3.014249999999999985e-01,4.246589999999999776e+01,7.248330000000000162e+00,8.632658604625581544e-01,-8.632410000000000361e-01,6.551470000000000210e-03
1.371867345807143534e+00,4.489419999999903765e-03,1.371860000000000079e+00,3.271470000000000211e-01,4.195550000000000068e+01,7.186160000000000103e+00,9.353043260402201797e-01,-9.352780000000000538e-01,7.017480000000000419e-03
1.415617580065360759e+00,4.632589999999959900e-03,1.415610000000000035e+00,3.833960000000000146e-01,3.970640000000000214e+01,6.901099999999999568e+00,1.088135886565869015e+00,-1.088109999999999911e+00,7.505699999999999698e-03
1.459367814323578205e+00,4.775760000000016901e-03,1.459359999999999991e+00,6.256270000000000442e-01,2.928910000000000124e+01,5.532420000000000115e+00,1.703236123532719803e+00,-1.703219999999999956e+00,7.411079999999999578e-03
1.503118048581795430e+00,4.918929999999962881e-03,1.503109999999999946e+00,1.193429999999999991e+00,1.560159999999999947e+01,3.700680000000000192e+00,2.899385546753699305e+00,-2.899379999999999846e+00,5.671360000000000290e-03
1.546868282864556576e+00,5.062107499999937005e-03,1.546860000000000124e+00,2.544249999999999901e+00,5.402059999999999640e+00,2.350260000000000016e+00,4.564000913371074830e+00,-4.564000000000000057e+00,2.887429999999999858e-03
1.590618517114592789e+00,5.205274999999880831e-03,1.590610000000000079e+00,4.704259999999999664e+00,1.715449999999999919e+00,1.687500000000000000e+00,5.612060058941736429e+00,-5.612059999999999604e+00,8.133689999999999844e-04
1.634366251402558756e+00,5.348449999999938670e-03,1.634357499999999908e+00,5.895489999999999675e+00,1.060419999999999918e+00,1.457999999999999963e+00,5.949010001412025517e+00,-5.949010000000000353e+00,1.296159999999999869e-04
1.678113985690525389e+00,5.491625000000023397e-03,1.678104999999999958e+00,5.997670000000000279e+00,1.004229999999999956e+00,1.406379999999999963e+00,5.996710000018600439e+00,-5.996710000000000207e+00,1.493570000000000000e-05
1.721864219883292968e+00,5.634774999999969496e-03,1.721855000000000135e+00,5.999939999999999607e+00,1.000229999999999952e+00,1.400400000000000089e+00,5.999790000000084333e+00,-5.999789999999999957e+00,1.007709999999999962e-06
1.765614454157872437e+00,5.777949999999943201e-03,1.765604999999999869e+00,5.999990000000000379e+00,1.000019999999999909e+00,1.400030000000000108e+00,5.999990000000000379e+00,-5.999990000000000379e+00,5.555290000000000242e-08
1.809364688432452350e+00,5.921124999999888283e-03,1.809354999999999825e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,3.669189999999999817e-09
1.853114922707032264e+00,6.064299999999945255e-03,1.853105000000000002e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,1.791469999999999967e-10
1.896865156981611955e+00,6.207475000000029983e-03,1.896854999999999958e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,1.427069999999999977e-11
1.940615391174379756e+00,6.350624999999976948e-03,1.940605000000000135e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,7.364580000000000311e-13
1.984365625448959225e+00,6.493799999999894275e-03,1.984354999999999869e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,2.279359999999999993e-13
2.028115859723539138e+00,6.636974999999840225e-03,2.028105000000000047e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,1.524940000000000013e-13
2.071866093998118608e+00,6.780149999999952708e-03,2.071854999999999780e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,1.186589999999999996e-13
2.115613828286084797e+00,6.923325000000065191e-03,2.115602499999999608e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,8.068249999999999473e-14
2.159361562492239539e+00,7.066475000000009554e-03,2.159350000000000325e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,4.864830000000000285e-14
2.203111796766819452e+00,7.209649999999900860e-03,2.203100000000000058e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,2.293990000000000028e-14
