r,x,y,Mach_Number,Pressure,Density,Speed,V_Velocity,U_Velocity
1.021870221699607839e+00,3.344055000000003761e-03,1.021864749999999988e+00,4.658280000000000198e-01,4.385450000000000159e+01,5.691169999999999618e+00,1.530014449121432252e+00,-1.530000000000000027e+00,-6.649399999999999755e-03
1.065620705956486614e+00,3.487224999999949306e-03,1.065615000000000201e+00,1.046750000000000042e-01,6.389170000000000016e+01,7.946139999999999759e+00,3.511965383723051337e-01,3.494410000000000016e-01,3.507129999999999970e-02
1.109370940214703838e+00,3.630394999999923041e-03,1.109364999999999934e+00,5.640619999999999523e-01,2.438210000000000122e+01,4.517699999999999605e+00,1.550481980965918938e+00,-1.545530000000000070e+00,1.238199999999999995e-01
1.153118674486307560e+00,3.773564999999896342e-03,1.153112499999999985e+00,8.390700000000000713e+00,8.788839999999999986e-01,2.491659999999999986e+00,5.896355126747794273e+00,-5.865009999999999835e+00,-6.071750000000000203e-01
1.196866408757911504e+00,3.916734999999954212e-03,1.196860000000000035e+00,5.828949999999999854e+00,1.088200000000000056e+00,1.462259999999999893e+00,5.949723855774498027e+00,-5.949709999999999610e+00,-1.284040000000000008e-02
1.240616643016128950e+00,4.059905000000009478e-03,1.240609999999999991e+00,5.997740000000000293e+00,1.001100000000000101e+00,1.400919999999999943e+00,5.999070000683340176e+00,-5.999069999999999681e+00,9.054730000000000634e-05
1.284366877282527408e+00,4.203077499999956744e-03,1.284359999999999946e+00,6.001179999999999737e+00,9.996739999999999515e-01,1.399999999999999911e+00,6.000200000009354717e+00,-6.000200000000000422e+00,1.059499999999999936e-05
1.328117111548926088e+00,4.346249999999930030e-03,1.328110000000000124e+00,6.000049999999999883e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000050000005775708e+00,-6.000049999999999883e+00,8.325059999999999877e-06
1.371867345807143534e+00,4.489419999999903765e-03,1.371860000000000079e+00,5.999629999999999797e+00,1.000089999999999923e+00,1.399969999999999937e+00,5.999970000022980088e+00,-5.999970000000000248e+00,1.660579999999999947e-05
1.415617580065360759e+00,4.632589999999959900e-03,1.415610000000000035e+00,6.000049999999999883e+00,9.999879999999999880e-01,1.400020000000000042e+00,5.999980000006690517e+00,-5.999979999999999869e+00,-8.960619999999999938e-06
1.459367814323578205e+00,4.775760000000016901e-03,1.459359999999999991e+00,5.999950000000000117e+00,1.000010000000000066e+00,1.399990000000000068e+00,6.000010000007278244e+00,-6.000009999999999621e+00,9.345520000000000267e-06
1.503118048581795430e+00,4.918929999999962881e-03,1.503109999999999946e+00,6.000090000000000146e+00,9.999749999999999472e-01,1.400009999999999977e+00,5.999990000003006863e+00,-5.999990000000000379e+00,-6.006380000000000081e-06
1.546868282864556576e+00,5.062107499999937005e-03,1.546860000000000124e+00,5.999990000000000379e+00,1.000010000000000066e+00,1.399999999999999911e+00,6.000010000000019161e+00,-6.000009999999999621e+00,4.833320000000000296e-07
1.590618517114592789e+00,5.205274999999880831e-03,1.590610000000000079e+00,5.999959999999999738e+00,1.000010000000000066e+00,1.399990000000000068e+00,6.000000000000455636e+00,-6.000000000000000000e+00,2.337479999999999938e-06
1.634366251402558756e+00,5.348449999999938670e-03,1.634357499999999908e+00,6.000029999999999752e+00,9.999949999999999672e-01,1.400009999999999977e+00,6.000000000000273559e+00,-6.000000000000000000e+00,-1.812600000000000018e-06
1.678113985690525389e+00,5.491625000000023397e-03,1.678104999999999958e+00,5.999990000000000379e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000060396e+00,-6.000000000000000000e+00,8.519830000000000131e-07
1.721864219883292968e+00,5.634774999999969496e-03,1.721855000000000135e+00,6.000000000000000000e+00,9.999989999999999712e-01,1.399999999999999911e+00,6.000000000000009770e+00,-6.000000000000000000e+00,-3.445709999999999956e-07
1.765614454157872437e+00,5.777949999999943201e-03,1.765604999999999869e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000001776e+00,-6.000000000000000000e+00,1.306420000000000127e-07
1.809364688432452350e+00,5.921124999999888283e-03,1.809354999999999825e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,-4.511319999999999927e-08
1.853114922707032264e+00,6.064299999999945255e-03,1.853105000000000002e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,1.240689999999999941e-08
1.896865156981611955e+00,6.207475000000029983e-03,1.896854999999999958e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,-1.084390000000000016e-09
1.940615391174379756e+00,6.350624999999976948e-03,1.940605000000000135e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,-1.829649999999999984e-09
1.984365625448959225e+00,6.493799999999894275e-03,1.984354999999999869e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,1.872270000000000194e-09
2.028115859723539138e+00,6.636974999999840225e-03,2.028105000000000047e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,-1.259829999999999981e-09
2.071866093998118608e+00,6.780149999999952708e-03,2.071854999999999780e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,7.142019999999999910e-10
2.115613828286084797e+00,6.923325000000065191e-03,2.115602499999999608e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,-3.656540000000000072e-10
2.159361562492239539e+00,7.066475000000009554e-03,2.159350000000000325e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,1.757059999999999979e-10
2.203111796766819452e+00,7.209649999999900860e-03,2.203100000000000058e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,-8.048549999999999829e-11
2.246862031041399366e+00,7.352824999999847677e-03,2.246850000000000236e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,3.565939999999999889e-11
2.290612265315978835e+00,7.495999999999959293e-03,2.290599999999999969e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,-1.491109999999999853e-11
2.334362499590558304e+00,7.639175000000071776e-03,2.334349999999999703e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,6.856640000000000155e-12
2.378112733865138662e+00,7.782350000000016858e-03,2.378100000000000325e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,-2.132009999999999919e-12
2.421862968139718131e+00,7.925524999999909032e-03,2.421850000000000058e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,1.955590000000000152e-12
2.465613202332486154e+00,8.068674999999853395e-03,2.465600000000000236e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,7.621710000000000448e-13
2.509363436607065623e+00,8.211849999999965011e-03,2.509349999999999969e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,1.243639999999999939e-12
2.553111170895031812e+00,8.355025000000078361e-03,2.553097499999999798e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,4.300179999999999757e-13
2.596858905182998445e+00,8.498200000000023444e-03,2.596845000000000070e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,-4.076989999999999852e-14
