r,x,y,Mach_Number,Pressure,Density,Speed,V_Velocity,U_Velocity
1.021870221699607839e+00,3.344055000000003761e-03,1.021864749999999988e+00,2.603700000000000112e-02,4.427360000000000184e+01,7.190669999999999895e+00,7.644405365101984706e-02,-7.566960000000000353e-02,1.085380000000000025e-02
1.065620705956486614e+00,3.487224999999949306e-03,1.065615000000000201e+00,7.304280000000000495e-02,4.411449999999999960e+01,7.181320000000000370e+00,2.142047829427718431e-01,-2.139520000000000033e-01,1.040340000000000015e-02
1.109370940214703838e+00,3.630394999999923041e-03,1.109364999999999934e+00,1.170319999999999971e-01,4.383930000000000149e+01,7.164460000000000051e+00,3.425374243659369822e-01,-3.423910000000000009e-01,1.001450000000000083e-02
1.153118674486307560e+00,3.773564999999896342e-03,1.153112499999999985e+00,1.587379999999999902e-01,4.346039999999999992e+01,7.138419999999999987e+00,4.634365941939511124e-01,-4.633349999999999969e-01,9.703329999999999594e-03
1.196866408757911504e+00,3.916734999999954212e-03,1.196860000000000035e+00,1.992120000000000002e-01,4.296650000000000347e+01,7.099420000000000286e+00,5.798743884041543950e-01,-5.797970000000000068e-01,9.473389999999999936e-03
1.240616643016128950e+00,4.059905000000009478e-03,1.240609999999999991e+00,2.404799999999999993e-01,4.228479999999999706e+01,7.037169999999999703e+00,6.974851994467908822e-01,-6.974230000000000151e-01,9.314640000000000766e-03
1.284366877282527408e+00,4.203077499999956744e-03,1.284359999999999946e+00,2.875739999999999963e-01,4.117860000000000298e+01,6.922640000000000349e+00,8.298759873823163824e-01,-8.298250000000000348e-01,9.199119999999999867e-03
1.328117111548926088e+00,4.346249999999930030e-03,1.328110000000000124e+00,3.528020000000000045e-01,3.907580000000000098e+01,6.686700000000000088e+00,1.009120587502992272e+00,-1.009079999999999977e+00,9.050620000000000540e-03
1.371867345807143534e+00,4.489419999999903765e-03,1.371860000000000079e+00,4.614550000000000041e-01,3.503329999999999700e+01,6.213110000000000355e+00,1.296519380435398050e+00,-1.296489999999999920e+00,8.728329999999999422e-03
1.415617580065360759e+00,4.632589999999959900e-03,1.415610000000000035e+00,6.548190000000000399e-01,2.837109999999999843e+01,5.409469999999999779e+00,1.774378225844235324e+00,-1.774359999999999937e+00,8.042310000000000431e-03
1.459367814323578205e+00,4.775760000000016901e-03,1.459359999999999991e+00,9.910639999999999450e-01,1.981719999999999970e+01,4.343510000000000204e+00,2.504759333050689651e+00,-2.504750000000000032e+00,6.837689999999999567e-03
1.503118048581795430e+00,4.918929999999962881e-03,1.503109999999999946e+00,1.557770000000000099e+00,1.153340000000000032e+01,3.254739999999999966e+00,3.469673748648725020e+00,-3.469669999999999810e+00,5.100310000000000260e-03
