r,x,y,Mach_Number,Pressure,Density,Speed,V_Velocity,U_Velocity
1.021870221699607839e+00,3.344055000000003761e-03,1.021864749999999988e+00,6.801719999999999988e-02,3.835810000000000031e+01,6.981919999999999682e+00,1.886354713706835939e-01,1.730839999999999879e-01,7.500179999999999347e-02
1.065620705956486614e+00,3.487224999999949306e-03,1.065615000000000201e+00,1.667059999999999931e-01,3.761939999999999884e+01,6.850679999999999659e+00,4.622247185168703587e-01,4.583820000000000117e-01,5.947800000000000309e-02
1.109370940214703838e+00,3.630394999999923041e-03,1.109364999999999934e+00,2.207479999999999998e-01,3.732119999999999749e+01,6.783710000000000129e+00,6.126385767539374028e-01,6.119970000000000132e-01,2.803030000000000105e-02
1.153118674486307560e+00,3.773564999999896342e-03,1.153112499999999985e+00,2.007170000000000065e-01,3.818979999999999819e+01,6.877950000000000230e+00,5.596202461206064571e-01,5.596170000000000311e-01,-1.906090000000000041e-03
1.196866408757911504e+00,3.916734999999954212e-03,1.196860000000000035e+00,1.205500000000000044e-01,3.939300000000000068e+01,6.955219999999999736e+00,3.394578187843668160e-01,3.392970000000000153e-01,-1.044780000000000014e-02
1.240616643016128950e+00,4.059905000000009478e-03,1.240609999999999991e+00,1.946639999999999829e-02,4.038580000000000325e+01,7.024320000000000341e+00,5.522840575229380489e-02,5.492049999999999710e-02,-5.823700000000000231e-03
1.284366877282527408e+00,4.203077499999956744e-03,1.284359999999999946e+00,7.526309999999999945e-02,4.084830000000000183e+01,7.006029999999999980e+00,2.150287614698284944e-01,-2.150219999999999909e-01,-1.705219999999999913e-03
1.328117111548926088e+00,4.346249999999930030e-03,1.328110000000000124e+00,1.615920000000000134e-01,4.092320000000000135e+01,6.851729999999999876e+00,4.672717328539020554e-01,-4.672419999999999907e-01,5.271220000000000072e-03
1.371867345807143534e+00,4.489419999999903765e-03,1.371860000000000079e+00,2.434050000000000102e-01,4.049969999999999715e+01,6.701769999999999783e+00,7.079873358274316741e-01,-7.079290000000000305e-01,9.088380000000000070e-03
1.415617580065360759e+00,4.632589999999959900e-03,1.415610000000000035e+00,3.173969999999999847e-01,3.990670000000000073e+01,6.739690000000000403e+00,9.138397784497893639e-01,-9.137650000000000494e-01,1.169040000000000010e-02
1.459367814323578205e+00,4.775760000000016901e-03,1.459359999999999991e+00,3.962899999999999756e-01,3.867810000000000059e+01,6.876850000000000129e+00,1.112024689638570818e+00,-1.111869999999999914e+00,1.854760000000000089e-02
1.503118048581795430e+00,4.918929999999962881e-03,1.503109999999999946e+00,6.641479999999999606e-01,2.698059999999999903e+01,5.898600000000000065e+00,1.680655288480966236e+00,-1.680539999999999923e+00,1.968519999999999992e-02
1.546868282864556576e+00,5.062107499999937005e-03,1.546860000000000124e+00,3.070489999999999942e+00,4.568360000000000198e+00,2.783679999999999932e+00,4.654172025852937544e+00,-4.654160000000000075e+00,-1.058019999999999967e-02
1.590618517114592789e+00,5.205274999999880831e-03,1.590610000000000079e+00,4.421570000000000000e+00,1.994439999999999991e+00,1.817269999999999941e+00,5.480760266595107844e+00,-5.480760000000000076e+00,1.709470000000000043e-03
1.634366251402558756e+00,5.348449999999938670e-03,1.634357499999999908e+00,5.932500000000000107e+00,1.030550000000000077e+00,1.420509999999999939e+00,5.978800067528013074e+00,-5.978799999999999670e+00,-8.985949999999999710e-04
1.678113985690525389e+00,5.491625000000023397e-03,1.678104999999999958e+00,5.997609999999999886e+00,1.001319999999999988e+00,1.401070000000000038e+00,5.999270018898867463e+00,-5.999270000000000103e+00,-4.761920000000000107e-04
1.721864219883292968e+00,5.634774999999969496e-03,1.721855000000000135e+00,5.998289999999999900e+00,1.000850000000000017e+00,1.400549999999999962e+00,5.999660022604262011e+00,-5.999660000000000437e+00,-5.208030000000000211e-04
1.765614454157872437e+00,5.777949999999943201e-03,1.765604999999999869e+00,5.996769999999999712e+00,1.001360000000000028e+00,1.400730000000000031e+00,5.999290017260875629e+00,-5.999290000000000234e+00,4.550889999999999927e-04
1.809364688432452350e+00,5.921124999999888283e-03,1.809354999999999825e+00,6.001269999999999882e+00,9.997679999999999900e-01,1.400139999999999940e+00,6.000270031924005210e+00,-6.000270000000000437e+00,6.189550000000000260e-04
1.853114922707032264e+00,6.064299999999945255e-03,1.853105000000000002e+00,6.001839999999999620e+00,9.993950000000000333e-01,1.399769999999999959e+00,6.000510006059060153e+00,-6.000510000000000232e+00,2.696570000000000238e-04
1.896865156981611955e+00,6.207475000000029983e-03,1.896854999999999958e+00,5.997799999999999798e+00,1.000809999999999977e+00,1.400230000000000086e+00,5.999730006454762510e+00,-5.999729999999999563e+00,-2.783050000000000129e-04
1.940615391174379756e+00,6.350624999999976948e-03,1.940605000000000135e+00,6.003099999999999881e+00,9.991529999999999578e-01,1.400090000000000057e+00,6.000370011136098469e+00,-6.000370000000000203e+00,-3.655700000000000117e-04
1.984365625448959225e+00,6.493799999999894275e-03,1.984354999999999869e+00,6.004690000000000083e+00,9.976930000000000520e-01,1.398539999999999894e+00,6.000890005453529241e+00,-6.000890000000000057e+00,-2.558360000000000083e-04
2.028115859723539138e+00,6.636974999999840225e-03,2.028105000000000047e+00,5.999929999999999986e+00,9.991929999999999978e-01,1.398789999999999978e+00,6.000110000374463404e+00,-6.000110000000000277e+00,-6.703459999999999681e-05
2.071866093998118608e+00,6.780149999999952708e-03,2.071854999999999780e+00,5.997600000000000264e+00,1.001190000000000024e+00,1.400760000000000005e+00,5.999540003309264513e+00,-5.999539999999999651e+00,-1.992689999999999924e-04
2.115613828286084797e+00,6.923325000000065191e-03,2.115602499999999608e+00,5.997110000000000163e+00,1.001880000000000104e+00,1.401520000000000099e+00,5.999470012891939596e+00,-5.999469999999999636e+00,-3.933060000000000050e-04
2.159361562492239539e+00,7.066475000000009554e-03,2.159350000000000325e+00,6.000740000000000407e+00,1.000359999999999916e+00,1.400709999999999900e+00,6.000300001942171058e+00,-6.000300000000000189e+00,1.526669999999999937e-04
2.203111796766819452e+00,7.209649999999900860e-03,2.203100000000000058e+00,6.002430000000000376e+00,9.991389999999999993e-01,1.399599999999999955e+00,6.000700004833215750e+00,-6.000700000000000145e+00,2.408429999999999978e-04
2.246862031041399366e+00,7.352824999999847677e-03,2.246850000000000236e+00,5.999500000000000277e+00,9.999390000000000223e-01,1.399639999999999995e+00,6.000090013653632148e+00,-6.000090000000000146e+00,4.047790000000000220e-04
2.290612265315978835e+00,7.495999999999959293e-03,2.290599999999999969e+00,5.995610000000000106e+00,1.001330000000000053e+00,1.400230000000000086e+00,5.999100017072370505e+00,-5.999100000000000321e+00,4.525900000000000018e-04
