r,x,y,Mach_Number,Pressure,Density,Speed,V_Velocity,U_Velocity
1.021870221699607839e+00,3.344055000000003761e-03,1.021864749999999988e+00,4.091620000000000257e-01,3.071999999999999886e+01,5.171100000000000030e+00,1.179991128009443946e+00,-1.164749999999999952e+00,1.890409999999999868e-01
1.065620705956486614e+00,3.487224999999949306e-03,1.065615000000000201e+00,1.114330000000000043e+00,2.448819999999999908e+01,5.259490000000000443e+00,2.845021444745216677e+00,-2.844749999999999890e+00,3.929959999999999704e-02
1.109370940214703838e+00,3.630394999999923041e-03,1.109364999999999934e+00,1.289560000000000040e+00,2.249309999999999832e+01,5.062129999999999797e+00,3.216350486070108872e+00,-3.216349999999999820e+00,-1.768260000000000014e-03
1.153118674486307560e+00,3.773564999999896342e-03,1.153112499999999985e+00,1.301220000000000043e+00,2.216410000000000124e+01,5.019759999999999778e+00,3.235190375921046080e+00,-3.235189999999999788e+00,-1.559599999999999962e-03
1.196866408757911504e+00,3.916734999999954212e-03,1.196860000000000035e+00,1.309660000000000046e+00,2.193019999999999925e+01,4.992160000000000153e+00,3.247870198573617806e+00,-3.247869999999999813e+00,-1.135729999999999943e-03
1.240616643016128950e+00,4.059905000000009478e-03,1.240609999999999991e+00,1.313600000000000101e+00,2.182689999999999841e+01,4.984960000000000058e+00,3.252320065767185131e+00,-3.252320000000000100e+00,-6.540580000000000048e-04
1.284366877282527408e+00,4.203077499999956744e-03,1.284359999999999946e+00,1.313760000000000039e+00,2.183589999999999876e+01,4.995190000000000019e+00,3.250060012571714729e+00,-3.250059999999999949e+00,-2.858630000000000242e-04
1.328117111548926088e+00,4.346249999999930030e-03,1.328110000000000124e+00,1.312300000000000022e+00,2.189920000000000044e+01,5.013550000000000395e+00,3.245190002857724298e+00,-3.245190000000000019e+00,-1.361900000000000090e-04
1.371867345807143534e+00,4.489419999999903765e-03,1.371860000000000079e+00,1.312159999999999993e+00,2.193690000000000140e+01,5.027210000000000178e+00,3.243210006261441514e+00,-3.243209999999999926e+00,-2.015300000000000034e-04
1.415617580065360759e+00,4.632589999999959900e-03,1.415610000000000035e+00,1.316079999999999917e+00,2.187450000000000117e+01,5.024250000000000327e+00,3.249220027873144456e+00,-3.249220000000000219e+00,-4.255959999999999821e-04
1.459367814323578205e+00,4.775760000000016901e-03,1.459359999999999991e+00,1.325809999999999933e+00,2.166600000000000037e+01,4.997250000000000192e+00,3.266390096044115232e+00,-3.266389999999999905e+00,-7.921080000000000265e-04
1.503118048581795430e+00,4.918929999999962881e-03,1.503109999999999946e+00,1.342349999999999932e+00,2.128920000000000101e+01,4.942499999999999893e+00,3.296380283184416893e+00,-3.296380000000000088e+00,-1.366369999999999998e-03
1.546868282864556576e+00,5.062107499999937005e-03,1.546860000000000124e+00,1.366370000000000084e+00,2.073549999999999827e+01,4.858279999999999710e+00,3.340020842196888218e+00,-3.340019999999999989e+00,-2.371900000000000137e-03
1.590618517114592789e+00,5.205274999999880831e-03,1.590610000000000079e+00,1.399049999999999905e+00,1.998789999999999978e+01,4.741500000000000270e+00,3.398782769363925205e+00,-3.398779999999999912e+00,-4.338769999999999606e-03
1.634366251402558756e+00,5.348449999999938670e-03,1.634357499999999908e+00,1.444099999999999939e+00,1.898160000000000025e+01,4.581400000000000361e+00,3.477999488323114452e+00,-3.477990000000000137e+00,-8.124080000000000537e-03
1.678113985690525389e+00,5.491625000000023397e-03,1.678104999999999958e+00,1.510199999999999987e+00,1.758879999999999910e+01,4.357599999999999696e+00,3.589982798000480813e+00,-3.589949999999999974e+00,-1.534559999999999917e-02
1.721864219883292968e+00,5.634774999999969496e-03,1.721855000000000135e+00,1.639820000000000055e+00,1.535570000000000057e+01,4.014170000000000016e+00,3.794884603136344570e+00,-3.794750000000000068e+00,-3.196229999999999905e-02
1.765614454157872437e+00,5.777949999999943201e-03,1.765604999999999869e+00,1.943929999999999936e+00,1.158029999999999937e+01,3.456679999999999975e+00,4.209930991390358201e+00,-4.209550000000000125e+00,-5.663699999999999984e-02
1.809364688432452350e+00,5.921124999999888283e-03,1.809354999999999825e+00,2.370979999999999865e+00,8.122690000000000410e+00,2.930439999999999934e+00,4.670628953470934874e+00,-4.669100000000000250e+00,-1.194989999999999941e-01
1.853114922707032264e+00,6.064299999999945255e-03,1.853105000000000002e+00,3.056480000000000086e+00,4.665580000000000283e+00,2.279009999999999980e+00,5.174457827132133758e+00,-5.171000000000000263e+00,-1.891369999999999996e-01
1.896865156981611955e+00,6.207475000000029983e-03,1.896854999999999958e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,5.979489999999999666e-15
1.940615391174379756e+00,6.350624999999976948e-03,1.940605000000000135e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,8.356180000000000475e-17
1.984365625448959225e+00,6.493799999999894275e-03,1.984354999999999869e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,8.419740000000000467e-17
2.028115859723539138e+00,6.636974999999840225e-03,2.028105000000000047e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,8.814459999999999858e-17
2.071866093998118608e+00,6.780149999999952708e-03,2.071854999999999780e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,8.484520000000000210e-17
2.115613828286084797e+00,6.923325000000065191e-03,2.115602499999999608e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,8.645899999999999886e-17
2.159361562492239539e+00,7.066475000000009554e-03,2.159350000000000325e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,8.911380000000000109e-17
2.203111796766819452e+00,7.209649999999900860e-03,2.203100000000000058e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,8.378590000000000035e-17
2.246862031041399366e+00,7.352824999999847677e-03,2.246850000000000236e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,8.591549999999999555e-17
2.290612265315978835e+00,7.495999999999959293e-03,2.290599999999999969e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,8.440289999999999637e-17
2.334362499590558304e+00,7.639175000000071776e-03,2.334349999999999703e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,8.308300000000000080e-17
2.378112733865138662e+00,7.782350000000016858e-03,2.378100000000000325e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,8.097620000000000520e-17
2.421862968139718131e+00,7.925524999999909032e-03,2.421850000000000058e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,7.945089999999999992e-17
2.465613202332486154e+00,8.068674999999853395e-03,2.465600000000000236e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,7.842600000000000470e-17
2.509363436607065623e+00,8.211849999999965011e-03,2.509349999999999969e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,7.693109999999999889e-17
2.553111170895031812e+00,8.355025000000078361e-03,2.553097499999999798e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,7.579680000000000331e-17
2.596858905182998445e+00,8.498200000000023444e-03,2.596845000000000070e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,7.431630000000000568e-17
2.640609139457577914e+00,8.641374999999914749e-03,2.640594999999999803e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,7.293880000000000204e-17
2.684359373650345049e+00,8.784524999999860848e-03,2.684344999999999537e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,7.205010000000000152e-17
2.728109607924925406e+00,8.927699999999972463e-03,2.728095000000000159e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,7.081679999999999438e-17
2.771859842199504875e+00,9.070875000000085814e-03,2.771844999999999892e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,6.935700000000000465e-17
2.815610076474085233e+00,9.214050000000030896e-03,2.815595000000000070e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,6.852919999999999740e-17
2.859360310748664702e+00,9.357224999999918733e-03,2.859344999999999803e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,6.486860000000000010e-17
2.903110544941431836e+00,9.500374999999866565e-03,2.903094999999999537e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,6.256020000000000088e-17
2.946860779216012194e+00,9.643549999999979916e-03,2.946845000000000159e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,6.230640000000000305e-17
2.990611013490591663e+00,9.786725000000036020e-03,2.990594999999999892e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,6.165589999999999869e-17
3.034358747778558296e+00,9.929899999999982838e-03,3.034342500000000165e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,5.992759999999999534e-17
3.078106482066524485e+00,1.007307499999992619e-02,3.078089999999999993e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,5.947940000000000415e-17
3.121856716259292064e+00,1.021622499999987402e-02,3.121839999999999726e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,5.835749999999999474e-17
3.165606950533871977e+00,1.035939999999998390e-02,3.165589999999999904e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,5.555779999999999876e-17
3.209357184808451890e+00,1.050257500000004347e-02,3.209340000000000082e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,5.669639999999999670e-17
3.253107419083031804e+00,1.064574999999998856e-02,3.253090000000000259e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,5.659470000000000285e-17
3.296857653357611273e+00,1.078892499999993364e-02,3.296839999999999993e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,5.782590000000000598e-17
3.340607887632190742e+00,1.093209999999988219e-02,3.340589999999999726e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,5.561899999999999964e-17
3.384358121906770656e+00,1.107527499999999207e-02,3.384339999999999904e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,5.698139999999999788e-17
3.428108356099538678e+00,1.121842500000004919e-02,3.428090000000000082e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,5.684760000000000249e-17
3.471858590374118592e+00,1.136159999999999427e-02,3.471840000000000259e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,5.564740000000000174e-17
3.515606324662084781e+00,1.150477499999994109e-02,3.515587500000000087e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,5.732650000000000076e-17
3.559354058950050970e+00,1.164794999999988617e-02,3.559334999999999916e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,5.428549999999999976e-17
